A0001,Dummy 01,Just a dummy project,01/03/2023,2,6,31/07/2023,XPTO SA,It doesn't matter,Fixed cost,150000,tc@mymail.com,35,20
A0002,Dummy 02,Just another dummy project,01/06/2023,4,12,29/04/2024,XYZ Lda,It doesn't matter,Fixed cost,350000,tc@mymail.com,50,100
A0666,Inevitable nightmare,Doomed from the start,10/03/2023,3,15,29/04/2024,Hell LLC,Hospitality industry,Time and materials,500000,tc@mymail.com,50,100
A0003,Dummy 03,Just a dummy project,01/03/2023,2,6,31/07/2023,XPTO SA,It doesn't matter,Fixed cost,150000,tc@mymail.com,35,20
A0004,Dummy 04,Just another dummy project,01/06/2023,4,12,29/04/2024,XYZ Lda,It doesn't matter,Fixed cost,350000,tc@mymail.com,50,100
A0005,Dummy 05,Doomed from the start,10/03/2023,3,15,29/04/2024,Hell LLC,Hospitality industry,Time and materials,500000,tc@mymail.com,50,100
A0006,Dummy 06,Just a dummy project,01/03/2023,2,6,31/07/2023,XPTO SA,It doesn't matter,Fixed cost,150000,tc@mymail.com,35,20
A0007,Dummy 07,Just another dummy project,01/06/2023,4,12,29/04/2024,XYZ Lda,It doesn't matter,Fixed cost,350000,tc@mymail.com,50,100
A0008,Dummy 08,Doomed from the start,10/03/2023,3,15,29/04/2024,Hell LLC,Hospitality industry,Time and materials,500000,tc@mymail.com,50,100
A0009,Dummy 09,Just a dummy project,01/03/2023,2,6,31/07/2023,XPTO SA,It doesn't matter,Fixed cost,150000,tc@mymail.com,35,20
A0010,Dummy 10,Just another dummy project,01/06/2023,4,12,29/04/2024,XYZ Lda,It doesn't matter,Fixed cost,350000,tc@mymail.com,50,100
A0011,Dummy 11,Doomed from the start,10/03/2023,3,15,29/04/2024,Hell LLC,Hospitality industry,Time and materials,500000,tc@mymail.com,50,100
